,meetupid,title,day,month,year,meetupLink,videoLink,place
0,42,"#42 Remise des prix du Mapathon “Tous (im)mobiles, tous cartographes ?”",2,11,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,,webinar
1,41,#41 Optimisation des prix : Techniques et Visualisation,15,10,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,,webinar
2,40,#40 Examen des dataviz à la mode : lesquelles auront la moyenne ?,24,6,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,https://www.youtube.com/watch?v=qeFujC52mZQ&t=1s&ab_channel=ToulouseDataViz,webinar
3,39,#39 Les Dataviz du Covid-19,28,5,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/270646599/,https://www.youtube.com/watch?v=Uxq7G9UzRYU&ab_channel=ToulouseDataViz,webinar
4,38,#38 L’hackaviz 2020 Remise des prix en direct sur Twitch.,26,3,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/269529416/,https://www.youtube.com/watch?v=HK91Ss-HssI&ab_channel=ToulouseDataViz,Web TV
5,37,#37 Le défi de la visualisation des données météorologiques.,27,2,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/268795232/,https://www.youtube.com/watch?v=7MdTe_n6w0M&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
6,36,"#36 SOIREE EXCEPTIONNELLE AVEC CESAR HIDALGO : Dataviz, IA ET Data Science",5,2,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/268218403/,https://www.youtube.com/watch?v=t1T0b6Tj07Q&ab_channel=ToulouseDataViz,Harry Cow 13 rue sainte Ursule Toulouse
7,35,#35 Atelier dataviz.,16,1,2020,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/267316120/,,"Wild Code School 18 place Roguet, 31000 Toulouse (métro St Cyprien)"
8,34,#34 Comment Mentir avec des Graphiques? Les dessous de nos médias.,12,12,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/266753565/,https://www.youtube.com/watch?v=o_I7tZxkEW8&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
9,33,"#33 Observablehq, “le notebook magique” de la dataviz",7,11,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/265738249/,https://www.youtube.com/watch?v=muijTV1tzcY&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
10,32,#32 Mobiliscope – la ville à toute heure !,19,9,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/264338910/,https://www.youtube.com/watch?v=nMQ_eFfCaFw&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
11,31,#31 From Data to Viz : Comment choisir la bonne représentation pour ses données ?,13,6,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,https://www.youtube.com/watch?v=IKnkU9rFqCE&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
12,30,#30 L’hackaviz 2019 le retour !,16,5,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
13,29,#29 Remise des prix de l’hackaviz 2019 – Hackaviz party,4,4,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,,Conseil Départemental de la Haute Garonne  1 Bd de la marquette – Toulouse Toulouse
14,28,#28 Créer des cartes avec QGIS et des open data.,21,2,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,https://www.youtube.com/watch?v=6bprnj6Cn3o&t=227s&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
15,27,#27 Visualisation interactive gratuite pour les réseaux et les matrices de Bertin,10,1,2019,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/257085547/,https://www.youtube.com/watch?v=1evcDAOzWE8&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
16,26,#26 La dataviz en action,7,11,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/255945404/,https://www.youtube.com/watch?v=DRhsLXg_fiQ&t=3s&ab_channel=ToulouseDataViz,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
17,25,#25 La représentation des données en neuroscience cognitive,17,10,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/255276950/,,Etincelle Coworking (Alsace Lorraine) 36 rue Alsace Lorraine · Toulouse Toulouse
18,24,#24 lightning talks,5,7,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/252022410/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
19,23,#23 React et d3js,12,6,2018,https://www.meetup.com/fr-FR/d3-js-Toulouse/events/250743201/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
20,22,#22 Data-Driven Storytellling,15,5,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/250012578/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
21,21,#21,21,3,2018,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/246640810/,,HarryCow 13 rue sainte Ursule Toulouse
